Theta, Dist(mm)(Unclean), 
0.637207,163.163,
1.4447,0,
3.22998,162.925,
4.52637,163.163,
5.82275,162.688,
7.13562,163.163,
8.42102,163.4,
9.23401,163.875,
10.5139,164.113,
11.8103,165.062,
13.1067,165.538,
14.4031,166.012,
15.7159,167.675,
17.0123,168.625,
18.3417,170.05,
19.6545,171.712,
20.9509,172.9,
22.2473,174.562,
23.6206,0,
24.9225,0,
26.2299,0,
27.5317,0,
28.8391,0,
30.141,0,
31.4484,0,
31.4648,539.838,
32.7338,545.3,
32.7502,0,
33.9972,557.412,
34.0576,0,
35.3595,0,
35.777,442.462,
37.3425,433.2,
38.6829,428.925,
42.8247,400.188,
44.4891,0,
45.7965,0,
46.7303,224.913,
49.5923,211.375,
50.8887,207.1,
52.2015,203.3,
53.5144,199.975,
54.7943,195.462,
55.2777,192.85,
57.4036,190,
58.7,193.325,
60.1447,0,
61.2927,194.75,
62.7539,0,
64.0558,0,
65.3577,0,
66.665,0,
67.9669,0,
69.2743,0,
70.5762,0,
71.8835,0,
73.1854,0,
74.4928,0,
75.7947,0,
77.3547,152,
78.6511,150.337,
79.953,150.812,
81.2494,149.387,
82.5623,149.863,
83.8586,149.863,
85.155,151.288,
86.4514,151.05,
87.5336,0,
88.8409,0,
90.1428,0,
91.4447,0,
92.7521,0,
94.054,0,
95.3613,0,
96.6632,0,
97.0148,717.963,
97.9706,0,
98.2343,720.338,
99.2725,0,
99.5142,726.037,
100.58,0,
101.03,668.325,
101.882,0,
102.31,671.412,
103.826,623.2,
105.046,630.088,
106.979,513.237,
108.199,501.125,
109.671,502.312,
110.808,513.475,
111.984,551.95,
113.401,542.213,
114.593,542.213,
116.093,525.825,
117.279,510.625,
118.652,500.888,
120.015,504.212,
121.328,503.025,
122.717,489.25,
124.014,490.675,
125.25,504.45,
126.436,507.3,
133.187,0,
133.418,799.188,
134.489,0,
135.797,0,
137.098,0,
138.406,0,
138.686,2431.76,
141.01,0,
141.449,1934.2,
142.317,0,
142.745,1999.04,
143.619,0,
144.042,2067.91,
144.926,0,
146.574,2232.02,
147.535,0,
147.887,2219.44,
149.2,2183.1,
150.639,1776.5,
151.968,1758.93,
152.754,0,
153.309,1736.6,
154.589,1711.9,
155.874,1696.94,
157.061,1882.66,
158.324,1918.05,
159.593,2047.49,
161.043,1661.07,
164.839,2007.82,
166.108,1990.96,
167.448,2003.55,
168.75,1986.21,
169.706,0,
170.013,1989.78,
171.013,0,
171.326,1994.76,
172.623,1985.97,
173.919,1984.07,
175.215,1994.05,
176.528,1983.6,
177.808,1994.05,
179.154,1990.49,
180.483,1988.82,
181.763,2011.39,
183.043,1997.85,
191.882,0,
192.107,2083.59,
193.184,0,
193.42,2123.96,
194.491,0,
194.733,2139.88,
195.793,0,
195.996,2153.89,
197.1,0,
197.325,2179.3,
198.402,0,
198.605,2192.36,
199.918,2226.56,
201.187,2266.7,
202.484,2292.59,
206.016,914.612,
207.356,883.5,
208.718,852.625,
210.152,827.925,
211.448,0,
211.498,800.138,
212.904,777.338,
214.167,755.487,
215.53,733.875,
216.87,715.588,
218.167,699.2,
219.639,683.763,
220.935,667.375,
222.358,653.6,
223.638,639.825,
225.104,626.763,
226.357,617.263,
227.747,603.013,
228.983,593.987,
230.482,583.775,
231.652,575.463,
233.091,565.963,
234.531,559.55,
235.668,552.188,
237.057,543.875,
238.326,537.463,
239.683,532,
241.013,527.487,
242.292,523.213,
243.699,517.037,
245.061,513.237,
246.434,511.337,
247.764,504.212,
249,500.888,
250.373,500.175,
251.779,497.087,
252.889,493.05,
254.388,490.675,
255.498,489.487,
256.811,487.825,
258.168,485.925,
259.514,484.975,
260.843,485.212,
262.167,483.312,
263.342,483.075,
264.825,482.837,
266.078,483.788,
267.341,485.45,
268.824,485.212,
269.901,486.638,
271.187,487.825,
272.45,489.487,
273.933,491.15,
275.262,495.188,
276.405,496.85,
277.575,499.462,
279.031,501.837,
280.201,505.163,
281.42,508.487,
282.794,513.713,
284.2,518.225,
285.249,522.263,
286.732,526.537,
287.952,532,
289.199,538.175,
290.391,545.537,
291.764,550.287,
293.077,558.6,
294.28,565.725,
295.576,575.7,
296.812,581.4,
298.026,591.612,
299.279,600.638,
300.624,611.8,
301.888,624.15,
303.124,636.025,
304.404,649.088,
305.733,660.487,
313.187,0,
313.951,191.188,
315.247,186.438,
316.544,182.163,
317.856,178.125,
319.153,174.325,
320.449,171,
321.746,167.913,
323.058,164.825,
324.855,162.212,
326.151,160.075,
327.464,157.938,
328.76,155.562,
330.073,153.663,
331.293,151.288,
333.012,150.1,
333.655,149.15,
335.198,147.25,
336.495,146.3,
337.797,144.875,
339.093,143.688,
340.389,142.975,
341.686,142.5,
342.982,143.212,
344.262,158.887,
345.795,0,
347.097,0,
348.404,0,
349.706,0,
351.013,0,
351.81,165.062,
352.87,165.3,
354.924,0,
356.232,0,
357.281,163.875,
358.841,163.875,
Theta, Dist(mm)(Unclean), 
Theta, Dist(mm)(Unclean), 
1.17004,163.163,
1.98303,163.4,
3.7793,162.925,
5.07568,162.688,
6.37207,0,
7.66846,163.163,
8.96484,163.4,
9.76135,163.875,
11.0742,164.35,
12.3706,165.3,
13.667,165.538,
14.9634,166.725,
16.5125,167.675,
17.5616,168.625,
18.7811,169.812,
20.0775,172.188,
21.3904,173.375,
23.269,0,
24.5654,0,
25.8673,0,
27.1692,0,
28.4656,0,
29.2621,526.775,
29.7675,0,
30.4321,535.325,
31.0638,0,
31.734,539.838,
32.3657,0,
33.0743,548.862,
33.6621,0,
36.167,439.612,
37.6831,430.825,
40.1605,0,
41.5118,415.15,
43.0444,396.388,
44.0607,0,
45.3625,0,
47.1094,223.488,
49.9219,210.188,
50.3888,205.438,
52.5146,202.113,
53.811,199.025,
55.1074,194.988,
56.4038,191.9,
58.1396,192.375,
58.3594,0,
